0,0.373325
1,0.33123
2,0.31206
3,0.300885
4,0.2937
5,0.289395
6,0.28585
7,0.28383
8,0.281865
9,0.28112
10,0.280895
11,0.28084
12,0.28072
13,0.280335
14,0.27956
15,0.279285
16,0.27961
17,0.27936
18,0.279225
19,0.279665
20,0.279625
21,0.2796
22,0.2795
23,0.279405
24,0.279345
25,0.27988
26,0.27952
27,0.27965
28,0.279605
29,0.28012
30,0.279215
31,0.278985
32,0.27895
33,0.27897
34,0.2788
35,0.278715
36,0.278155
37,0.27875
38,0.278755
39,0.278685
40,0.278815
41,0.27885
42,0.27835
43,0.27905
44,0.27869
45,0.27883
46,0.27896
47,0.279815
48,0.2798
49,0.28028
