0,7860,19704
1,-10000,20000
2,1432,19524
3,10000,20000
4,952,19496
5,-10000,20000
6,5682,19572
7,7550,19676
8,302,19588
9,-4830,19536
10,-2574,19588
11,-9698,19888
12,7092,19652
13,-10000,20000
14,1340,19552
15,-7306,19664
16,-904,19552
17,-8440,19752
18,6704,19636
19,-10000,20000
20,7178,19644
21,-10000,20000
22,-252,19200
23,-10000,20000
24,-9848,19912
25,-7504,19664
26,614,19484
27,10000,20000
28,3400,19200
29,-7254,19668
30,8200,19728
31,-20,19532
32,-7884,19704
33,-2,19580
34,-10000,20000
35,8202,19728
36,-10000,20000
37,10000,20000
38,10000,20000
39,-10000,20000
40,-6840,19636
41,6884,19644
42,-10000,20000
43,-1150,19560
44,-9502,19852
45,7234,19624
46,364,19548
47,-7378,19660
48,226,19548
49,6368,19580
50,9004,19796
51,6054,19544
52,-8976,19780
53,-1498,19520
54,-1052,19496
55,-8842,19748
56,8848,19776
57,-5842,19520
58,-7290,19564
59,212,19520
60,-7386,19632
61,7264,19644
62,7174,19636
63,10000,20000
64,-7856,19648
65,410,19480
66,1908,19476
67,202,19464
68,0,19448
69,6864,19588
70,-2812,19480
71,-9990,19960
72,-1900,19456
73,-874,19448
74,-6596,19408
75,-3808,19424
76,4014,19384
77,-6082,19492
78,-1638,19088
79,-2540,19408
80,8988,19740
81,-8610,19632
82,-7828,19544
83,8982,19700
84,-3592,19376
85,8130,19628
86,-1084,19232
87,1126,19368
88,4870,19364
89,-1612,19316
90,9980,19920
91,-9960,19868
92,-9964,19864
93,-982,19232
94,1874,19108
95,-9944,19784
96,-9932,19740
97,1646,19060
98,4104,19104
99,6448,19204
100,-9908,19676
101,-2194,18956
102,-9900,19652
103,2184,19072
104,8068,19136
105,-6458,18960
106,-7232,19108
107,9852,19464
108,-9094,19212
109,-7386,19156
110,-6592,19040
111,64,18856
112,3008,18636
113,-1076,18456
114,6460,18848
115,3132,18548
116,-6758,18732
117,5064,18568
118,-4950,18460
119,-7458,18788
120,5672,18484
121,-5068,18200
122,3800,18084
123,-5488,18308
124,-4464,18144
125,122,17856
126,-7622,18200
127,7742,18320
128,906,17932
129,2656,17780
130,6596,18060
131,3026,17720
132,3846,17632
133,2250,17600
134,-2628,17476
135,2052,17460
136,-2776,17280
137,-7834,17956
138,-2184,16780
139,212,17076
140,-7676,17356
141,-4498,16848
142,2054,16588
143,1200,16400
144,6628,16784
145,150,16416
146,-7928,17076
147,-7940,16608
148,204,16080
149,-2910,16020
150,-5938,16148
151,1218,15492
152,6378,16020
153,-3802,15320
154,7278,15660
155,-3754,15184
156,-5000,14820
157,-1200,14940
158,5464,14888
159,2306,14396
160,7042,14852
161,3552,13408
162,1266,14200
163,2562,13536
164,3706,13608
165,1542,13156
166,-1600,13056
167,324,13020
168,-1268,12552
169,190,12256
170,1138,12256
171,1708,12252
172,-1198,12120
173,-12,11684
174,1768,12024
175,226,11716
176,826,11532
177,-792,10816
178,378,11720
179,-234,11268
180,792,10808
181,1176,11084
182,-210,10648
183,-140,10152
184,400,10728
185,-86,10256
186,128,10336
187,1012,10292
188,90,10252
189,202,9780
190,-682,9796
191,-394,9824
192,738,9540
193,-216,9572
194,-518,9456
195,974,9532
196,-842,9676
197,-204,9200
198,218,9872
199,266,9064
200,-42,8804
201,58,8876
202,-524,8688
203,-168,8852
204,-30,8860
205,-244,8652
206,-268,8944
207,-496,8604
208,-78,8596
209,256,8648
210,86,8384
211,-180,8376
212,-16,8108
213,-402,8292
214,-12,8164
215,-480,8308
216,126,7928
217,-486,8112
218,346,8228
219,-92,7680
220,-270,8040
221,-74,7648
222,-346,7892
223,34,7868
224,-354,8052
225,-58,7272
226,-70,7756
227,-262,7620
228,156,7268
229,-152,7528
230,-470,7656
231,188,7504
232,160,7496
233,-2,7376
234,60,7012
235,12,7400
236,-470,7404
237,-442,7096
238,-314,6676
239,92,7264
240,-136,6736
241,-24,6996
242,52,6776
243,-16,6788
244,30,6828
245,-408,6552
246,-262,6800
247,-434,6944
248,230,6816
249,38,6656
250,84,6468
251,210,6240
252,-390,6424
253,-446,6336
254,-60,6344
255,198,6436
256,202,6392
257,-432,6204
258,-302,5892
259,112,6352
260,-294,6224
261,106,6064
262,128,6008
263,-234,6332
264,-120,6140
265,220,5940
266,132,6148
267,-68,5804
268,-22,6120
269,-290,5860
270,-68,6024
271,-18,6000
272,266,5992
273,-24,5972
274,-228,5804
275,-106,5640
276,388,5728
277,0,5720
278,176,6080
279,202,5856
280,-26,5640
281,198,5880
282,70,5456
283,-168,5756
284,-370,5608
285,-274,5532
286,16,5424
287,-112,5276
288,-186,5488
289,-198,5352
290,-104,5568
291,-226,5268
292,-30,5636
293,200,5484
294,-62,5404
295,210,5360
296,126,5296
297,164,5304
298,-184,5220
299,-54,5568
300,124,5192
301,172,5244
302,-76,5240
303,116,5572
304,-144,5168
305,354,5476
306,98,5308
307,184,5240
308,34,5208
309,178,4928
310,-62,5244
311,202,5180
312,-64,4880
313,306,4708
314,-80,5080
315,76,4964
316,-100,4880
317,254,4808
318,-148,5108
319,-94,5192
