0.1,0,140,-110
0.1,1,-17700,-2468
0.1,2,-18592,-3668
0.1,3,-18788,-4296
0.1,4,-18940,-5214
0.1,5,-19060,-5800
0.1,6,-19192,-6508
0.1,7,-19236,-6860
0.1,8,-19292,-7212
0.1,9,-19404,-7516
0.1,10,-19408,-7736
0.1,11,-19424,-7892
0.1,12,-19436,-8072
0.1,13,-19436,-8286
0.1,14,-19464,-8442
0.1,15,-19484,-8698
0.1,16,-19512,-8930
0.1,17,-19536,-9232
0.1,18,-19564,-9414
0.1,19,-19604,-9688
0.1,20,-19652,-9880
0.1,21,-19720,-10000
0.1,22,-19720,-10000
0.1,23,-19720,-10000
0.1,24,-19720,-10000
0.1,25,-19720,-10000
0.1,26,-19720,-10000
0.1,27,-19720,-10000
0.1,28,-19720,-10000
0.1,29,-19720,-10000
0.1,30,-19720,-10000
0.1,31,-19720,-10000
0.1,32,-19720,-10000
0.1,33,-19720,-10000
0.1,34,-19720,-10000
0.1,35,-19720,-10000
0.1,36,-19720,-10000
0.1,37,-19720,-10000
0.1,38,-19720,-10000
0.1,39,-19720,-10000
0.1,40,-19720,-10000
0.1,41,-19720,-10000
0.1,42,-19720,-10000
0.1,43,-19720,-10000
0.1,44,-19720,-10000
0.1,45,-19720,-10000
0.1,46,-19720,-10000
0.1,47,-19720,-10000
0.1,48,-19720,-10000
0.1,49,-19720,-10000
0.1,50,-19720,-10000
0.1,51,-19720,-10000
0.1,52,-19720,-10000
0.1,53,-19720,-10000
0.1,54,-19720,-10000
0.1,55,-19720,-10000
0.1,56,-19720,-10000
0.1,57,-19720,-10000
0.1,58,-19720,-10000
0.1,59,-19720,-10000
0.1,60,-19720,-10000
0.1,61,-19720,-10000
0.1,62,-19720,-10000
0.1,63,-19720,-10000
0.1,64,-19720,-10000
0.1,65,-19720,-10000
0.1,66,-19720,-10000
0.1,67,-19720,-10000
0.1,68,-19720,-10000
0.1,69,-19720,-10000
0.1,70,-19720,-10000
0.1,71,-19720,-10000
0.1,72,-19720,-10000
0.1,73,-19720,-10000
0.1,74,-19720,-10000
